class	motif	id	enr	q	tp	fp
Transient Increasing	FOXL1	MA0033.2	1.06	3.72e-23	6386	14443
Transient Increasing	DRGX	MA1481.2	1.08	4.26e-23	5661	12503
Transient Increasing	FOXA3	MA1683.2	1.04	4.54e-23	6786	15597
Transient Increasing	Pax7	MA0680.3	1.11	4.77e-23	4736	10161
Transient Increasing	CEBPG	MA1636.2	1.25	6.29e-23	2196	4189
Transient Increasing	Hmga1	MA2124.1	1.1	7.82e-23	5079	11023
Transient Increasing	HOXC10	MA0905.2	1.08	8.9e-23	5687	12579
Transient Increasing	HOXB5	MA0904.3	1.14	1.06e-22	4076	8559
Transient Increasing	FOXP4	MA2117.1	1.04	1.08e-22	6710	15377
Transient Increasing	FOXO4	MA0848.1	1.05	1.43e-22	6509	14800
Transient Increasing	SOX9	MA0077.2	1.03	1.74e-22	6879	15892
Transient Increasing	Arid5a	MA0602.2	1.08	1.95e-22	5740	12726
Transient Increasing	LHX6	MA0658.2	1.14	2e-22	4100	8625
Transient Increasing	SPIB	MA0081.3	1.13	2.87e-22	4147	8743
Transient Increasing	GATA6	MA1104.3	1.06	5.6e-22	6173	13886
Transient Increasing	HNF1B	MA0153.2	1.2	5.98e-22	2801	5582
Transient Increasing	MSX2	MA0708.3	1.08	8.74e-22	5642	12488
Transient Increasing	Foxo3	MA0157.4	1.04	9.43e-22	6755	15527
Transient Increasing	SOX18	MA1563.2	1.11	1.68e-21	4633	9951
Transient Increasing	POU5F1	MA1115.2	1.03	1.99e-21	6891	15946
Transient Increasing	NKX6-3	MA1530.2	1.14	2.15e-21	3853	8062
Transient Increasing	Arid3b	MA0601.2	1.11	2.94e-21	4669	10047
Transient Increasing	Dlx5	MA1476.3	1.06	2.94e-21	6163	13876
Transient Increasing	DMRTA1	MA1707.2	1.15	5.99e-21	3613	7504
Transient Increasing	MEOX1	MA0661.2	1.19	6.01e-21	2879	5789
Transient Increasing	LHX2	MA0700.3	1.09	1.03e-20	5389	11867
Transient Increasing	SOX2	MA0143.5	1.06	1.28e-20	6141	13832
Transient Increasing	ETV2::FOXI1	MA1942.2	1.25	1.38e-20	2043	3907
Transient Increasing	ZNF766	MA2098.1	1.07	1.43e-20	5995	13444
Transient Increasing	JUN	MA0488.2	1.3	1.58e-20	1594	2925
Transient Increasing	HNF1A	MA0046.3	1.17	1.6e-20	3110	6336
Transient Increasing	GBX2	MA0890.2	1.08	1.6e-20	5566	12326
Transient Increasing	ATF7	MA0834.2	1.55	2.01e-20	706	1087
Transient Increasing	Foxj3	MA0851.2	1.09	2.86e-20	5170	11325
Transient Increasing	PRRX1	MA0716.2	1.14	3.58e-20	3802	7977
Transient Increasing	Irf1	MA0050.4	1.2	4.08e-20	2677	5349
Transient Increasing	MEIS2	MA0774.1	1.26	4.44e-20	1950	3714
Transient Increasing	FOSL1::JUN	MA1129.1	1.06	5.22e-20	6022	13530
Transient Increasing	SHOX	MA0630.2	1.11	5.22e-20	4528	9738
Transient Increasing	GSC	MA0648.2	1.04	5.97e-20	6590	15083
Transient Increasing	Hoxa13	MA0650.4	1.05	1.21e-19	6525	14906
Transient Increasing	ETV2	MA0762.2	1.21	1.22e-19	2418	4773
Transient Increasing	FOXN3	MA1489.1	1.09	1.25e-19	5258	11566
Transient Increasing	MSANTD3	MA1523.2	1.12	1.3e-19	4190	8927
Transient Increasing	FOXK1	MA0852.3	1.03	1.69e-19	6827	15782
Transient Increasing	PGR	MA2327.1	1.12	1.71e-19	4245	9064
Transient Increasing	ZNF35	MA2333.1	1.03	2.71e-19	6899	16005
Transient Increasing	Ikzf3	MA1992.2	1.41	3.3e-19	993	1683
Transient Increasing	FOXP1	MA0481.4	1.03	6.16e-19	6912	16051
Transient Increasing	Dlx2	MA0885.3	1.05	6.38e-19	6378	14515
Transient Increasing	Hnf1A	MA1991.2	1.05	6.9e-19	6480	14797
Transient Increasing	SREBF1	MA0595.1	1.18	9.14e-19	2775	5613
Transient Increasing	SIX2	MA1119.2	1.06	1.09e-18	5951	13377
Transient Increasing	Gata3	MA0037.5	1.05	1.18e-18	6379	14524
Transient Increasing	Lhx1	MA1518.3	1.08	3.42e-18	5253	11596
Transient Increasing	Sox5	MA0087.3	1.06	6.24e-18	6030	13605
Transient Increasing	Nfat5	MA0606.3	1.05	6.59e-18	6330	14408
Transient Increasing	CDX2	MA0465.3	1.04	7.95e-18	6700	15440
Transient Increasing	NRL	MA0842.3	1.16	9.42e-18	2985	6129
Transient Increasing	Elf5	MA0136.4	1.17	2.36e-17	2909	5965
Transient Increasing	Gfi1B	MA0483.2	1.1	2.71e-17	4538	9848
Transient Increasing	NKX2-5	MA0063.3	1.12	3.66e-17	4069	8713
Transient Increasing	TRPS1	MA1970.2	1.05	3.66e-17	6327	14418
Transient Increasing	SOX10	MA0442.3	1.05	3.78e-17	6399	14614
Transient Increasing	ZNF75D	MA1601.2	1.19	4.79e-17	2500	5034
Transient Increasing	SOX13	MA1120.2	1.04	6.89e-17	6672	15379
Transient Increasing	HOXB8	MA1502.2	1.16	7.28e-17	3037	6278
Transient Increasing	Hoxa11	MA0911.2	1.06	8.34e-17	5759	12929
Transient Increasing	Sox3	MA0514.3	1.04	8.56e-17	6722	15524
Transient Increasing	ELF3	MA0640.3	1.57	8.67e-17	554	844
Transient Increasing	JUND	MA0492.2	1.61	1.18e-16	502	746
Transient Increasing	Bach1::Mafk	MA0591.2	3.68	2.03e-16	99	64
Transient Increasing	Nkx3-1	MA0124.3	1.1	2.78e-16	4596	10024
Transient Increasing	ZNF75A	MA2097.1	1.28	2.78e-16	1431	2672
Transient Increasing	MAFF	MA0495.4	1.1	3.09e-16	4325	9364
Transient Increasing	Msx3	MA0709.2	1.07	3.51e-16	5502	12289
Transient Increasing	Creb5	MA0840.2	1.43	3.64e-16	789	1321
Transient Increasing	FLI1::FOXI1	MA1950.2	1.1	3.9e-16	4312	9336
Transient Increasing	SOX8	MA0868.3	1.04	4.03e-16	6510	14943
Transient Increasing	RORA	MA0071.1	1.11	4.22e-16	4046	8694
Transient Increasing	Sox17	MA0078.3	1.03	6.55e-16	6841	15888
Transient Increasing	HOXA9	MA0594.3	1.09	1.19e-15	4570	9982
Transient Increasing	Isl1	MA1608.2	1.06	1.39e-15	5954	13471
Transient Increasing	JUNB	MA1140.3	1.4	1.65e-15	831	1419
Transient Increasing	ETS2	MA1484.2	1.18	1.69e-15	2415	4888
Transient Increasing	ONECUT1	MA0679.3	1.09	1.72e-15	4564	9973
Transient Increasing	Rhox11	MA0629.2	1.04	1.77e-15	6507	14950
Transient Increasing	ETS1	MA0098.4	1.13	1.8e-15	3477	7358
Transient Increasing	SOX15	MA1152.2	1.04	2.46e-15	6497	14926
Transient Increasing	FOXJ2::ELF1	MA1952.2	1.17	3.9e-15	2605	5335
Transient Increasing	RAX2	MA0717.2	1.11	3.98e-15	3984	8579
Transient Increasing	VSX1	MA0725.2	1.1	4.37e-15	4180	9053
Transient Increasing	EHF	MA0598.4	1.56	5.06e-15	500	765
Transient Increasing	Lef1	MA0768.3	1.04	6.05e-15	6598	15214
Transient Increasing	FOXO1::ELK1	MA1954.2	1.21	7.61e-15	1948	3852
Transient Increasing	TEF	MA0843.2	1.19	8.97e-15	2207	4438
Transient Increasing	ELK4	MA0076.3	1.12	9.73e-15	3670	7842
Transient Increasing	FOXD2	MA0847.4	1.1	1.03e-14	4193	9098
Transient Increasing	ZNF24	MA1124.1	1.13	1.95e-14	3261	6885
Transient Increasing	Mafb	MA0117.3	1.09	2.93e-14	4440	9714
Transient Increasing	HOXA3	MA2119.1	1.14	3.5e-14	2971	6215
Transient Increasing	MIXL1	MA0662.2	1.13	3.67e-14	3267	6909
Transient Increasing	TGIF2LY	MA1572.1	1.2	3.91e-14	1942	3860
Transient Increasing	TGIF2	MA0797.1	1.21	4.14e-14	1864	3686
Transient Increasing	PRDM1	MA0508.4	1.04	5.72e-14	6585	15201
Transient Increasing	Ahr::Arnt	MA0006.2	1.06	6.51e-14	5478	12302
Transient Increasing	ERF	MA0760.2	1.2	1.04e-13	1901	3781
Transient Increasing	HOXD8	MA0910.3	1.17	1.06e-13	2349	4796
Transient Increasing	Foxo1	MA0480.3	1.02	1.06e-13	6919	16161
Transient Increasing	HOXD3	MA0912.2	1.21	1.28e-13	1839	3645
Transient Increasing	HOXC12	MA0906.2	1.18	1.51e-13	2234	4539
Transient Increasing	FOXG1	MA0613.1	1.11	1.59e-13	3795	8185
Transient Increasing	Hoxd13	MA0909.4	1.1	1.63e-13	4144	9024
Transient Increasing	CEBPD	MA0836.3	1.11	3.09e-13	3723	8024
Transient Increasing	FOXO1::ELF1	MA1953.2	1.15	3.12e-13	2595	5377
Transient Increasing	IKZF2	MA2326.1	1.16	3.16e-13	2475	5101
Transient Increasing	GATA1	MA0035.5	1.02	3.52e-13	6898	16108
Transient Increasing	DMRTA2	MA1478.2	1.09	3.57e-13	4495	9889
Transient Increasing	ARNT::HIF1A	MA0259.2	1.06	8.1e-13	5685	12865
Transient Increasing	GSC2	MA0891.2	1.06	8.29e-13	5633	12733
Transient Increasing	RELA	MA0107.1	1.72	9.24e-13	299	415
Transient Increasing	FOXO1::FLI1	MA1956.2	1.21	9.33e-13	1730	3428
Transient Increasing	SOX4	MA0867.3	1.04	1.66e-12	6248	14333
Transient Increasing	RREB1	MA0073.2	1.21	2.01e-12	1664	3291
Transient Increasing	PBX1	MA0070.2	1.09	2.51e-12	4313	9479
Transient Increasing	FOSB::JUNB	MA1136.1	1.04	2.51e-12	6187	14178
Transient Increasing	HOXC13	MA0907.2	1.1	3.37e-12	3698	8005
Transient Increasing	PAX4	MA0068.2	1.1	3.71e-12	3978	8677
Transient Increasing	JDP2	MA0656.2	1.69	4.21e-12	298	421
Transient Increasing	CREM	MA0609.3	1.08	5.16e-12	4592	10171
Transient Increasing	FLI1	MA0475.3	1.11	8.93e-12	3492	7532
Transient Increasing	HOXD11	MA0908.2	1.11	1.95e-11	3474	7503
Transient Increasing	PITX3	MA0714.2	1.02	2.11e-11	6870	16061
Transient Increasing	FOXO6	MA0849.1	1.07	2.67e-11	4775	10648
Transient Increasing	HOXB9	MA1503.2	1.31	4.3e-11	846	1544
Transient Increasing	BARHL1	MA0877.4	1.05	5.68e-11	5777	13164
Transient Increasing	PAX6	MA0069.1	1.08	6.21e-11	4393	9730
Transient Increasing	UNCX	MA0721.2	1.17	8.73e-11	1898	3871
Transient Increasing	BARX1	MA0875.2	1.21	9.23e-11	1486	2947
Transient Increasing	ETV6	MA0645.2	1.08	9.37e-11	4461	9903
Transient Increasing	IKZF1	MA1508.2	1.16	1.08e-10	2080	4288
Transient Increasing	Six4	MA2001.2	1.12	1.1e-10	2960	6323
Transient Increasing	EN2	MA0642.3	1.12	1.18e-10	2971	6350
Transient Increasing	LHX9	MA0701.3	1.13	1.41e-10	2576	5433
Transient Increasing	FOXP3	MA0850.1	1.04	1.6e-10	6130	14087
Transient Increasing	LBX1	MA0618.2	1.1	2.02e-10	3455	7501
Transient Increasing	HOXB1	MA2093.1	1.3	2.15e-10	837	1542
Transient Increasing	ERF::FOXI1	MA1935.2	1.14	3.06e-10	2299	4807
Transient Increasing	GATA4	MA0482.3	1.02	3.13e-10	6826	15961
Transient Increasing	ELF2	MA1483.3	1.11	3.14e-10	3168	6831
Transient Increasing	RORB	MA1150.2	1.25	3.24e-10	1085	2081
Transient Increasing	Npas2	MA0626.2	1.1	3.51e-10	3301	7147
Transient Increasing	Foxj2	MA0614.1	1.08	3.72e-10	4021	8865
Transient Increasing	ALX3	MA0634.2	1.16	4.13e-10	1993	4112
Transient Increasing	ZNF354C	MA0130.1	1.07	4.76e-10	4695	10505
Transient Increasing	SOX12	MA1561.2	1.06	6.34e-10	5070	11433
Transient Increasing	NFKB1	MA0105.4	2.56	7.98e-10	90	84
Transient Increasing	PITX1	MA0682.3	1.08	1.07e-09	3955	8727
Transient Increasing	Sox7	MA2095.1	1.06	1.54e-09	4814	10819
Transient Increasing	Nfatc2	MA0152.3	1.28	2.06e-09	843	1580
Transient Increasing	OTX1	MA0711.2	1.04	3.83e-09	6183	14272
Transient Increasing	SIX1	MA1118.2	1.05	4.04e-09	5232	11869
Transient Increasing	Atoh1	MA0461.3	1.06	4.13e-09	4962	11202
Transient Increasing	Nfatc1	MA0624.3	1.25	5.22e-09	949	1820
Transient Increasing	CUX2	MA0755.2	1.07	5.68e-09	4346	9704
Transient Increasing	Stat2	MA1623.2	1.17	8.15e-09	1540	3135
Transient Increasing	IRF6	MA1509.1	1.13	8.16e-09	2331	4940
Transient Increasing	POU2F1::SOX2	MA1962.1	1.16	1.07e-08	1787	3698
Transient Increasing	GRHL2	MA1105.3	1.04	1.12e-08	5753	13192
Transient Increasing	LHX5	MA1519.2	1.29	1.15e-08	731	1360
Transient Increasing	FOXF2	MA0030.2	1.08	1.18e-08	3932	8721
Transient Increasing	IRF5	MA1420.1	1.17	1.38e-08	1557	3182
Transient Increasing	MNX1	MA0707.3	1.2	1.46e-08	1205	2396
Transient Increasing	LBX2	MA0699.2	1.24	1.66e-08	938	1811
Transient Increasing	RORA	MA0072.2	1.33	1.86e-08	583	1052
Transient Increasing	Nkx2-1	MA1994.2	1.15	2.02e-08	1793	3723
Transient Increasing	DLX1	MA0879.3	1.24	2.28e-08	931	1800
Transient Increasing	FOXO1::ELK3	MA1955.2	1.1	2.69e-08	2925	6348
Transient Increasing	Foxq1	MA0040.2	1.09	2.77e-08	3368	7394
Transient Increasing	Six3	MA0631.2	1.08	2.78e-08	3855	8555
Transient Increasing	STAT3	MA0144.3	1.06	3e-08	4504	10123
Transient Increasing	GATA5	MA0766.3	1.12	3.1e-08	2484	5321
Transient Increasing	HOXB6	MA1500.2	1.16	3.13e-08	1694	3506
Transient Increasing	KLF5	MA0599.1	1.08	3.43e-08	3612	7979
Transient Increasing	Lhx4	MA0704.2	1.25	4.21e-08	820	1567
Transient Increasing	MYF6	MA0667.1	1.09	4.92e-08	3072	6707
Transient Increasing	BSX	MA0876.2	1.23	4.92e-08	934	1817
Transient Increasing	OTX2	MA0712.3	1.02	5.09e-08	6731	15755
Transient Increasing	IRF4	MA1419.2	1.43	8.49e-08	355	596
Transient Increasing	ERF::HOXB13	MA1937.2	1.06	9.52e-08	4662	10533
Transient Increasing	HOXB2::ELK1	MA1957.1	1.12	1.84e-07	2216	4736
Transient Increasing	ZBED2	MA1971.2	1.08	2.46e-07	3382	7476
Transient Increasing	NFYC	MA1644.2	1.08	2.9e-07	3478	7708
Transient Increasing	MEOX2	MA0706.2	1.29	2.9e-07	571	1056
Transient Increasing	EMX2	MA0886.2	1.23	2.98e-07	845	1647
Transient Increasing	HOXC8	MA1505.2	1.24	3.2e-07	772	1489
Transient Increasing	STAT1::STAT2	MA0517.2	1.25	3.36e-07	701	1336
Transient Increasing	ISX	MA0654.2	1.25	3.39e-07	737	1414
Transient Increasing	Nr1h3	MA2337.1	1.33	3.39e-07	480	866
Transient Increasing	Nr1H4	MA1110.3	1.33	3.39e-07	480	866
Transient Increasing	Nr1H2	MA1996.2	1.33	3.39e-07	480	866
Transient Increasing	Prdm4	MA1647.3	1.18	3.39e-07	1178	2385
Transient Increasing	ZIM3	MA1709.2	1.11	3.64e-07	2447	5287
Transient Increasing	GSX2	MA0893.3	1.31	3.88e-07	515	941
Transient Increasing	RFX5	MA0510.3	1.2	4.24e-07	966	1918
Transient Increasing	EMX1	MA0612.3	1.22	4.3e-07	890	1751
Transient Increasing	CDX4	MA1473.2	1.2	4.31e-07	1012	2020
Transient Increasing	NFATC3	MA0625.3	1.23	4.31e-07	804	1563
Transient Increasing	VAX2	MA0723.3	1.23	5.73e-07	799	1556
Transient Increasing	HOXB2	MA0902.3	1.23	5.73e-07	799	1556
Transient Increasing	NR4A1	MA1112.3	1.08	6.32e-07	3469	7706
Transient Increasing	Dlx3	MA0880.2	1.21	6.72e-07	907	1795
Transient Increasing	ETV5::DRGX	MA1944.2	1.24	6.94e-07	721	1389
Transient Increasing	TEAD4	MA0809.3	1.08	7.95e-07	3275	7251
Transient Increasing	HOXD10	MA1506.2	1.16	8.01e-07	1346	2777
Transient Increasing	PRRX2	MA0075.4	1.25	8.99e-07	676	1295
Transient Increasing	DLX6	MA0882.2	1.21	9.82e-07	843	1660
Transient Increasing	ETV5::FOXI1	MA1946.2	1.11	1.04e-06	2334	5048
Transient Increasing	HOXA1	MA1495.2	1.22	1.16e-06	799	1566
Transient Increasing	PROP1	MA0715.1	1.11	1.42e-06	2166	4665
Transient Increasing	ELK1::HOXB13	MA1932.2	1.15	1.45e-06	1415	2944
Transient Increasing	SOX14	MA1562.2	1.07	1.92e-06	3714	8318
Transient Increasing	GBX1	MA0889.2	1.19	2e-06	992	2000
Transient Increasing	HOXA4	MA1496.2	1.2	2.01e-06	913	1825
Transient Increasing	NR2C1	MA1535.2	1.06	2.07e-06	4100	9246
Transient Increasing	Dlx4	MA0881.2	1.21	2.25e-06	806	1591
Transient Increasing	Ptf1A	MA1618.2	1.05	2.26e-06	4705	10713
Transient Increasing	KLF9	MA1107.3	1.09	2.38e-06	2748	6035
Transient Increasing	FLI1::DRGX	MA1949.2	1.04	2.48e-06	5064	11593
Transient Increasing	PPARA::RXRA	MA1148.2	1.07	2.83e-06	3307	7359
Transient Increasing	CUX1	MA0754.3	1.05	3.25e-06	4535	10309
Transient Increasing	FEV	MA0156.4	1.07	3.6e-06	3568	7986
Transient Increasing	Yy1	MA0095.4	1.01	3.97e-06	6950	16408
Transient Increasing	REL	MA0101.1	1.24	4.56e-06	630	1217
Transient Increasing	ZNF384	MA1125.2	1.07	4.77e-06	3525	7891
Transient Increasing	SREBF1	MA0829.3	1.1	6.75e-06	2236	4864
Transient Increasing	Stat4	MA0518.2	1.06	1.08e-05	4044	9155
Transient Increasing	MSX1	MA0666.3	1.23	1.46e-05	608	1185
Transient Increasing	Nanog	MA2339.1	1.01	1.74e-05	6836	16114
Transient Increasing	Sox11	MA0869.3	1.03	1.9e-05	6103	14222
Transient Increasing	ETV3	MA0763.2	1.04	2.24e-05	5038	11585
Transient Increasing	KLF4	MA0039.5	1.39	2.41e-05	248	427
Transient Increasing	MAF	MA1520.2	1.58	2.45e-05	138	209
Transient Increasing	NKX2-2	MA1645.2	1.02	3.02e-05	6634	15589
Transient Increasing	HLF	MA0043.4	1.12	3.06e-05	1461	3111
Transient Increasing	ZNF784	MA1717.2	1.03	3.07e-05	5758	13369
Transient Increasing	ZNF677	MA2101.1	1.02	3.76e-05	6128	14300
Transient Increasing	HOXC9	MA0485.3	1.17	3.87e-05	867	1772
Transient Increasing	Vdr	MA0693.4	1.03	4.66e-05	5308	12267
Transient Increasing	IRF7	MA0772.2	1.17	5.48e-05	823	1680
Transient Increasing	ZSCAN21	MA2336.1	1.01	5.63e-05	6975	16507
Transient Increasing	ZNF274	MA1592.2	1.1	6.25e-05	1927	4202
Transient Increasing	FOS	MA1951.2	1.49	8.02e-05	152	244
Transient Increasing	Atf1	MA0604.1	1.62	0.000104	105	155
Transient Increasing	Hmx2	MA0897.2	1.15	0.000105	959	1997
Transient Increasing	RORC	MA1151.2	1.02	0.000113	6603	15532
Transient Increasing	TEAD2	MA1121.2	1.06	0.000119	3060	6878
Transient Increasing	IRF2	MA0051.2	1.17	0.000124	781	1601
Transient Increasing	MYBL1	MA0776.1	1.14	0.000125	999	2091
Transient Increasing	PKNOX2	MA0783.1	1.21	0.000156	528	1045
Transient Increasing	ZNF680	MA1729.2	1.04	0.000159	4860	11207
Transient Increasing	LMX1A	MA0702.3	1.1	0.000171	1685	3668
Transient Increasing	ELF4	MA0641.1	1.06	0.000175	2929	6580
Transient Increasing	ETV5::HOXA2	MA1948.2	1.09	0.000175	2010	4423
Transient Increasing	ZNF214	MA1975.2	1.04	0.000175	4197	9606
Transient Increasing	ZBTB11	MA2329.1	1.09	0.000181	1878	4117
Transient Increasing	MYBL2	MA0777.1	1.22	0.000184	459	897
Transient Increasing	CEBPG	MA0838.1	1.11	0.000198	1392	2997
Transient Increasing	MAFA	MA1521.2	1.53	0.000203	120	188
Transient Increasing	LIN54	MA0619.2	1.11	0.000206	1327	2849
Transient Increasing	ZKSCAN5	MA1652.2	1.04	0.000208	4753	10956
Transient Increasing	DMRT3	MA0610.2	1.06	0.000211	3254	7357
Transient Increasing	TCF7L1	MA1421.1	1.4	0.000215	183	314
Transient Increasing	DBP	MA0639.2	1.39	0.000237	187	323
Transient Increasing	NR2F2	MA1111.2	1.14	0.000326	917	1926
Transient Increasing	TEAD1	MA0090.4	1.03	0.000379	4825	11150
Transient Increasing	DUX4	MA0468.1	1.11	0.000544	1145	2456
Transient Increasing	NFYA	MA0060.4	1.04	0.000547	4365	10049
Transient Increasing	TGIF2LX	MA1571.1	1.22	0.000578	399	783
Transient Increasing	Stat6	MA0520.2	1.12	0.000621	1009	2149
Transient Increasing	NKX6-1	MA0674.2	1.16	0.000694	672	1390
Transient Increasing	ZNF382	MA1594.1	1.86	0.000747	51	66
Transient Increasing	IRF9	MA0653.1	1.33	0.000754	203	367
Transient Increasing	HOXB4	MA1499.2	1.21	0.000754	399	787
Transient Increasing	ZBTB17	MA2102.1	1.05	0.00083	3151	7159
Transient Increasing	HAND2	MA1638.2	1.14	0.00103	725	1517
Transient Increasing	IRF3	MA1418.2	1.16	0.00107	590	1215
Transient Increasing	VENTX	MA0724.1	1.2	0.0011	411	819
Transient Increasing	PDX1	MA0132.3	1.19	0.00115	457	921
Transient Increasing	SPIC	MA0687.2	1.16	0.00115	579	1192
Transient Increasing	CDX1	MA0878.3	2.31	0.00125	28	29
Transient Increasing	NKX6-2	MA0675.2	1.18	0.0013	456	921
Transient Increasing	HOXB7	MA1501.2	1.16	0.00131	573	1181
Transient Increasing	NFIA	MA0670.2	1.15	0.00137	644	1341
Transient Increasing	BACH2	MA1470.2	1.38	0.00141	143	249
Transient Increasing	NFKB2	MA0778.2	1.1	0.0015	1243	2708
Transient Increasing	HOXC4	MA1504.2	1.19	0.00164	432	872
Transient Increasing	POU2F2	MA0507.3	1.32	0.00181	178	324
Transient Increasing	OVOL2	MA1545.2	1.67	0.00185	59	85
Transient Increasing	NKX2-4	MA2003.2	1.15	0.00191	571	1184
Transient Increasing	ELK1::HOXA1	MA1931.1	1.09	0.00194	1365	2997
Transient Increasing	FOXH1	MA0479.2	1.16	0.00198	538	1111
Transient Increasing	ZNF667	MA1984.2	1.04	0.00201	3547	8136
Transient Increasing	USF1	MA0093.4	1.28	0.00206	210	393
Transient Increasing	HOXD12	MA0873.2	1.2	0.00222	357	712
Transient Increasing	HOXD4	MA1507.2	1.18	0.00224	439	893
Transient Increasing	MXI1	MA1108.3	1.16	0.00242	482	990
Transient Increasing	Mecom	MA0029.2	1.21	0.00258	318	629
Transient Increasing	HOXA6	MA1497.2	1.17	0.00279	430	877
Transient Increasing	Hmx3	MA0898.2	1.16	0.00315	495	1024
Transient Increasing	OSR1	MA1542.2	1.83	0.00368	38	50
Transient Increasing	Nr1h3::Rxra	MA0494.2	1.02	0.00399	5571	13051
Transient Increasing	HOXA2	MA0900.3	1.16	0.00399	441	908
Transient Increasing	NR2C2	MA1536.2	1.02	0.00407	5854	13746
Transient Increasing	IRF8	MA0652.2	1.37	0.0044	115	202
Transient Increasing	HOXD9	MA0913.3	1.15	0.00454	510	1065
Transient Increasing	ZBTB18	MA0698.2	1.06	0.00465	2270	5142
Transient Increasing	Lhx8	MA0705.2	1.15	0.00483	459	952
Transient Increasing	PAX3	MA1546.2	1.73	0.00511	41	57
Transient Increasing	Npas4	MA1995.2	1.02	0.00531	6037	14206
Transient Increasing	POU1F1	MA0784.3	1.4	0.00548	93	159
Transient Increasing	HESX1	MA0894.2	1.23	0.00565	224	436
Transient Increasing	ETV4	MA0764.4	1.03	0.00586	4745	11059
Transient Increasing	THRB	MA1576.2	1.35	0.006	115	205
Transient Increasing	ZNF317	MA1593.2	1.11	0.00621	801	1733
Transient Increasing	TGIF1	MA0796.1	1.22	0.00654	235	462
Transient Increasing	GATA1::TAL1	MA0140.3	1.35	0.00696	109	194
Transient Increasing	ZNF211	MA1974.2	1.13	0.00763	566	1203
Transient Increasing	GMEB2	MA0862.1	1.21	0.00776	232	458
Transient Increasing	ETV7	MA1708.2	1.02	0.00776	5578	13094
Transient Increasing	HNF4A	MA0114.5	1.01	0.00826	6568	15539
Transient Increasing	PPARD	MA1550.2	1.1	0.00829	749	1622
Transient Increasing	Hmx1	MA0896.2	1.14	0.00916	441	925
