class	motif	id	enr	q	tp	fp
Transient	FOXK1	MA0852.3	1.06	4.4e-11	6746	11352
Transient	OTX1	MA0711.2	1.08	4.48e-11	5526	9135
Transient	NR2F2	MA1111.2	1.06	4.62e-11	6950	11729
Transient	RORB	MA1150.2	1.14	6.36e-11	2967	4645
Transient	PAX3	MA0780.1	1.15	1.96e-10	2489	3846
Transient	PAX3	MA1546.2	1.1	2.6e-10	4173	6761
Transient	Nfatc1	MA0624.3	1.39	3.01e-10	616	789
Transient	Foxo1	MA0480.3	1.07	3.76e-10	5685	9457
Transient	MXI1	MA1108.3	1.07	3.76e-10	5802	9668
Transient	FOXP3	MA0850.1	1.04	4.03e-10	7966	13662
Transient	PPARA::RXRA	MA1148.2	1.08	4.6e-10	5179	8553
Transient	STAT3	MA0144.3	1.06	5.36e-10	6384	10730
Transient	FOXF2	MA0030.2	1.08	5.45e-10	5212	8615
Transient	ZNF8	MA1718.1	1.3	6.22e-10	864	1180
Transient	Arx	MA0874.2	1.1	7.26e-10	3993	6463
Transient	CDX4	MA1473.2	1.23	7.34e-10	1342	1950
Transient	Nr1H4	MA1110.3	1.05	8.12e-10	6689	11295
Transient	ZNF75A	MA2097.1	1.16	1.02e-09	2199	3379
Transient	RORC	MA1151.2	1.06	1.04e-09	6188	10385
Transient	TLX2	MA1577.2	1.15	1.45e-09	2254	3477
Transient	FOXG1	MA0613.1	1.08	2.07e-09	4967	8202
Transient	POU4F2	MA0683.2	1.19	2.18e-09	1683	2525
Transient	ZBTB17	MA2102.1	1.08	2.97e-09	4618	7589
Transient	TBX4	MA0806.1	1.49	3.1e-09	395	473
Transient	TEAD1	MA0090.4	1.06	4.43e-09	5809	9725
Transient	Hmx1	MA0896.2	1.09	4.43e-09	4494	7377
Transient	NFYA	MA0060.4	1.03	5.89e-09	8439	14603
Transient	TBX18	MA1565.2	1.03	7e-09	8576	14870
Transient	NKX6-1	MA0674.2	1.11	7.42e-09	3314	5320
Transient	MGA	MA0801.1	1.55	7.78e-09	320	369
Transient	PITX3	MA0714.2	1.06	8.06e-09	6242	10520
Transient	Six3	MA0631.2	1.14	9.84e-09	2409	3769
Transient	JUND	MA0492.2	1.62	1.07e-08	262	288
Transient	SIX2	MA1119.2	1.16	1.08e-08	1892	2896
Transient	ZNF274	MA1592.2	1.13	1.55e-08	2560	4034
Transient	Crx	MA0467.3	1.05	1.66e-08	6697	11363
Transient	FOXN3	MA1489.1	1.04	1.76e-08	7274	12426
Transient	Stat6	MA0520.2	1.11	2.19e-08	3323	5355
Transient	NFATC3	MA0625.3	1.29	3.37e-08	758	1049
Transient	ZBTB32	MA1580.1	1.23	3.48e-08	1037	1497
Transient	PRDM1	MA0508.4	1.06	3.52e-08	5534	9270
Transient	Rhox11	MA0629.2	1.02	5.01e-08	8764	15261
Transient	NFATC4	MA1525.3	1.53	5.06e-08	299	349
Transient	TBX5	MA0807.1	1.4	5.4e-08	452	577
Transient	VENTX	MA0724.1	1.16	6.51e-08	1752	2687
Transient	mix-a	MA0621.2	1.15	6.64e-08	1904	2943
Transient	Nanog	MA2339.1	1.03	8.4e-08	8055	13911
Transient	TBX15	MA0803.1	1.58	9.6e-08	250	282
Transient	ZNF184	MA2120.1	1.02	1.05e-07	8865	15468
Transient	SOX14	MA1562.2	1.04	1.31e-07	7575	13020
Transient	HOXC13	MA0907.2	1.1	1.52e-07	3382	5494
Transient	ZNF677	MA2101.1	1.05	1.68e-07	6389	10846
Transient	ZNF384	MA1125.2	1.06	1.73e-07	5315	8910
Transient	CDX1	MA0878.3	1.15	2.44e-07	1780	2754
Transient	Vdr	MA0693.4	1.03	2.73e-07	7856	13557
Transient	Foxo3	MA0157.4	1.08	2.8e-07	4241	7012
Transient	RFX2	MA0600.3	1.22	2.81e-07	989	1443
Transient	Nkx3-1	MA0124.3	1.05	2.81e-07	6020	10188
Transient	ONECUT2	MA0756.3	1.16	2.82e-07	1603	2459
Transient	ZBTB18	MA0698.2	1.09	3.47e-07	3760	6171
Transient	FOS	MA1951.2	1.32	3.54e-07	557	754
Transient	SOX15	MA1152.2	1.15	4.76e-07	1687	2608
Transient	GFI1	MA0038.3	1.13	5.08e-07	2017	3167
Transient	ZNF136	MA1588.1	1.1	5.51e-07	2970	4804
Transient	Pgr	MA2323.1	1.03	5.51e-07	7627	13143
Transient	NR4A1	MA1112.3	1.71	5.72e-07	166	173
Transient	GRHL2	MA1105.3	1.01	6.83e-07	9239	16235
Transient	Nr2e3	MA0164.2	1.08	9.73e-07	3869	6384
Transient	NR4A2	MA0160.3	1.59	1.04e-06	202	226
Transient	BCL11A	MA2324.1	1.06	1.2e-06	5194	8736
Transient	SOX12	MA1561.2	1.04	1.41e-06	7134	12251
Transient	Sox1	MA0870.1	1.4	1.54e-06	353	451
