feature_id	Naive_WT_REP1	Naive_WT_REP2	D3_WT_REP1	D3_WT_REP2	D5_WT_REP1	D5_WT_REP2	D8_WT_TE_Exp2_REP1	D8_WT_TE_Exp2_REP2	D8_WT_TE_Exp2_REP3
Interval_3426	53	70	3	8	1	2	0	0	0
Interval_3446	8	8	58	27	14	12	1	6	3
Interval_3515	0	6	0	0	1	1	0	2	1
Interval_3562	64	112	146	102	385	366	225	241	288
Interval_3566	15	29	13	9	27	22	6	11	10
Interval_3581	137	205	200	114	593	597	424	482	591
Interval_3584	38	54	80	47	148	203	172	209	220
Interval_3611	5	12	44	31	52	33	14	17	4
Interval_3630	105	117	49	30	30	37	0	0	3
Interval_3650	126	231	44	43	35	45	5	6	7
Interval_3705	1	1	4	1	0	0	0	1	1
Interval_3739	600	774	316	196	760	844	298	376	588
Interval_3838	120	185	48	33	123	119	52	65	69
Interval_3861	7	6	3	1	7	8	82	61	64
Interval_3905	749	984	284	199	662	793	407	423	580
Interval_3942	4	10	0	0	0	3	0	0	0
Interval_3948	94	136	10	0	1	1	2	0	0
Interval_3956	584	712	17	10	21	25	12	17	23
Interval_3987	13	13	1	1	1	4	3	11	2
Interval_3996	97	147	45	26	76	59	42	36	64
Interval_4000	489	606	8	11	125	159	62	79	128
Interval_4062	8	6	89	44	101	95	20	37	38
Interval_4089	1228	1644	555	350	1587	1537	728	819	1117
Interval_4130	83	134	15	13	20	16	8	14	11
Interval_4131	8	14	13	13	3	3	6	1	4
Interval_4207	19	36	13	5	16	13	5	4	3
Interval_4223	97	125	374	227	263	207	13	22	8
Interval_4280	9	15	221	145	334	331	90	91	108
Interval_4378	1012	1229	450	304	1189	1164	704	755	994
Interval_4380	24	37	209	120	502	514	125	215	242
Interval_4406	5	9	57	27	12	9	3	2	3
Interval_4442	222	267	54	49	534	561	391	467	492
Interval_4447	4	3	60	29	22	24	4	2	9
Interval_4462	14	10	73	33	11	6	2	4	3
Interval_4529	234	302	117	77	303	339	109	127	198
Interval_4555	1395	1612	424	271	1139	1196	680	723	1035
Interval_4585	3	2	26	23	21	17	0	0	1
Interval_4587	6	5	123	68	90	82	27	24	24
Interval_4614	46	63	272	179	232	230	59	66	68
Interval_4616	38	57	56	32	145	164	154	172	158
Interval_4629	4	4	8	2	4	1	1	2	1
Interval_4657	5	5	10	3	0	3	1	2	0
Interval_4677	17	26	8	4	11	12	8	5	10
Interval_4743	10	11	29	17	11	6	0	1	0
Interval_4772	986	1339	384	268	1016	1059	440	492	646
Interval_4810	46	83	19	15	102	101	34	48	62
Interval_4814	145	158	3	2	18	12	6	4	10
Interval_4923	6	12	45	37	2	7	3	0	4
